epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6061,3.87937,9.09203,4.24655,0,0,0,0,3.17861,3.03543,2.26438,5.58632e-05,5.58632e-05,5.58632e-05
2,36.9263,3.86791,8.43395,4.19941,0,0,0,0,3.15796,3.03733,2.25157,0.000112972,0.000112972,0.000112972
3,54.8547,3.936,8.36673,4.13244,0,0,0,0,3.1735,3.04431,2.25259,0.000169855,0.000169855,0.000169855
4,71.9199,3.79665,8.00043,4.07411,0,0,0,0,3.06207,3.0327,2.17817,0.000170978,0.000170978,0.000170978
5,90.2961,3.54387,7.87706,3.9544,0,0,0,0,2.15646,5.15357,2.06247,0.000170638,0.000170638,0.000170638
6,109.016,3.39754,7.73276,3.74679,0,0,0,0,1.68796,17.689,1.8416,0.000170297,0.000170297,0.000170297
7,130.103,3.04348,7.53422,3.52408,0.02021,0.15741,0.01505,0.00202,1.30184,inf,1.56527,0.000169957,0.000169957,0.000169957
8,149.699,2.57137,7.04493,3.17193,0.52349,0.01852,0.0241,0.01057,1.17313,12.2209,1.3216,0.000169616,0.000169616,0.000169616
9,169.734,2.37186,6.52842,2.87994,0.3132,0.09259,0.03366,0.01228,1.1923,221.99,1.2617,0.000169276,0.000169276,0.000169276
10,188.259,2.16509,5.95964,2.65068,0.40189,0.10751,0.04303,0.01663,1.29471,2.79814,1.2281,0.000168935,0.000168935,0.000168935
11,206.599,2.05821,5.60442,2.49853,0.08404,0.3734,0.04689,0.01942,1.14746,2.16191,1.13919,0.000168594,0.000168594,0.000168594
12,225.008,1.9267,5.13864,2.43071,0.33918,0.09943,0.07392,0.03351,0.92264,1.92401,0.97915,0.000168254,0.000168254,0.000168254
13,243.346,1.84319,4.96814,2.31777,0.31977,0.16488,0.10103,0.04916,0.95404,1.67126,1.00306,0.000167913,0.000167913,0.000167913
14,261.419,1.80855,4.72901,2.23443,0.5863,0.12196,0.14201,0.0662,0.98106,1.6932,0.96936,0.000167573,0.000167573,0.000167573
15,281.02,1.75951,4.49242,2.17455,0.36124,0.20878,0.12525,0.04607,1.08879,1.86932,1.0356,0.000167232,0.000167232,0.000167232
16,300.903,1.71391,4.31542,2.13298,0.14,0.34414,0.15663,0.08206,0.9558,1.81759,0.92611,0.000166892,0.000166892,0.000166892
17,320.097,1.67476,4.27991,2.08933,0.21526,0.27252,0.19667,0.12062,0.76555,2.23825,0.81912,0.000166551,0.000166551,0.000166551
